Date,Ticker,Shares,Buy Price,Cost Basis,Stop Loss,Current Price,Total Value,PnL,PnL %,Action,Cash Balance,Total Equity,Notes
2025-10-22,EVLV,18.78,7.99,,7.35,8.44,,,,BUY - Manual Purchase,,,
2025-10-22,SERV,10.77,13.92,,12.81,13.75,,,,BUY - Manual Purchase,,,
2025-10-22,CWCO,4.38,34.18,,31.45,34.52,,,,BUY - Manual Purchase,,,
2025-10-22,PVLA,2.58,58.14,,53.49,58.71,,,,BUY - Manual Purchase,,,
2025-10-22,TOTAL,,,,,,,,,,,,
2025-10-23,EVLV,18.78,7.99,,7.35,8.6,,,,HOLD,,,
2025-10-23,SERV,10.77,13.92,,12.81,13.17,,,,HOLD,,,
2025-10-23,CWCO,4.38,34.18,,31.45,34.86,,,,HOLD,,,
2025-10-23,PVLA,2.58,58.14,,53.49,56.69,,,,HOLD,,,
2025-10-23,TOTAL,,,,,,,,,,,,
2025-09-24,EVLV,18.78,7.99,,7.35,8.25,,,,HOLD,,,
2025-09-24,SERV,10.77,13.92,,12.81,12.82,,,,SELL - Stop Loss Triggered,,,Stop loss triggered
2025-09-24,SERV,11.32,13.25,,12.19,12.84,,,,HOLD,,,
2025-09-24,CWCO,4.38,34.18,,31.45,34.89,,,,HOLD,,,
2025-09-24,PVLA,2.58,58.14,,53.49,58.87,,,,HOLD,,,
2025-09-24,TOTAL,,,,,,,,,,,,
2025-09-25,EVLV,18.78,7.99,0.0,7.35,,,,,NO DATA,0.0,,
2025-09-25,SERV,10.77,13.92,0.0,12.81,,,,,NO DATA,0.0,,
2025-09-25,CWCO,4.38,34.18,0.0,31.45,,,,,NO DATA,0.0,,
2025-09-25,PVLA,2.58,58.14,0.0,53.49,,,,,NO DATA,0.0,,
2025-09-25,TOTAL,,,,,,,,,,,,
