Date,Ticker,Shares Bought,Buy Price,Cost Basis,PnL,Reason,Shares Sold,Sell Price
2025-10-21,AVGO,,,60.927003000000006,-0.606496000000007,MANUAL SELL LIMIT - ,0.1723,350.09
2025-10-21,IREN,,,9.300736,-0.412782,MANUAL SELL LIMIT - ,0.1546,57.49
2025-10-21,BE,,,49.98843,-2.639480666809085,MANUAL SELL LIMIT - ,0.437,108.3499984741211
2025-10-21,GM,1.6674,65.96,109.98,0.0,MANUAL BUY EXECUTED - Already Filled,,
2025-10-22,GM,,,109.981704,1.2172020000000003,MANUAL SELL LIMIT - ,1.6674,66.69
2025-10-22,GD,0.205,342.0,70.11,0.0,MANUAL BUY EXECUTED - Already Filled,,
2025-10-22,CRWD,,,128.5534,2.327349999999996,MANUAL SELL LIMIT - ,0.2615,500.5
2025-10-22,KDP,6.0723,28.0,170.02,0.0,MANUAL BUY EXECUTED - Already Filled,,
2025-10-23,KDP,,,170.0244,-2.9754269999999963,MANUAL SELL LIMIT - ,6.0723,27.51
2025-10-23,GD,,,70.11,-0.7175000000000011,MANUAL SELL LIMIT - ,0.205,338.5
2025-10-23,AMD,,,74.7384,2.00,MANUAL SELL LIMIT - ,0.3344,229.26
2025-10-23,ASML,0.0075,1016.94,7.63,0.0,MANUAL BUY EXECUTED - Already Filled,,
2025-10-23,CRWD,0.2386,508.13,121.24,0.0,MANUAL BUY EXECUTED - Already Filled,,
2025-10-23,ANET,0.7307,149.51,109.25,0.0,MANUAL BUY EXECUTED - Already Filled,,
2025-10-23,NET,0.2796,214.85,60.07,0.0,MANUAL BUY EXECUTED - Already Filled,,
